ITALY TRIP 2027 - 32 NIGHTS COMPLETE ITINERARY
Sydney to Rome: August 1-28, 2027

===== TAB 1: TRIP OVERVIEW =====

SECTION,LOCATION,NIGHTS,DATES,ESTIMATED COST (AUD)
1,Rome (Arrival),2,Aug 1-2,$500-800
2,Naples + Pompeii,2,Aug 3-4,$300-500
3,Minori (Amalfi Coast),2,Aug 5-6,$400-600
4,Amalfi Town,3,Aug 7-9,$750-1050
5,La Barbera Praiano,2,Aug 10-11,$900
6,Tuscany Countryside Villa,8,Aug 12-19,$2400-3600
7,Milan,2,Aug 20-21,$600-1000
8,Lake Como,2,Aug 22-23,$500-800
9,Venice,3,Aug 24-26,$1200-2100
10,Rome (Departure),2,Aug 27-28,$500-800
TOTAL,32 nights total,32,Aug 1-28 2027,"$16,000-24,500"

===== TAB 2: FLIGHTS =====

FLIGHT DETAILS
Route,Sydney (SYD) to Rome (FCO),Return
Outbound Date,Tuesday July 31 2027,Depart 7:05pm
Arrival Date,Wednesday August 1 2027,Arrive 9:55am (local time)
Return Date,Wednesday August 27 2027,Depart 11:10am
Arrival Date,Thursday August 28 2027,Arrive 4:05pm (local time)
Total Flight Time,"23h 50m (outbound), 21h 25m (return)","Via Perth (Qantas) or Abu Dhabi (Etihad)"

AIRLINE OPTIONS,CLASS,ESTIMATED COST RETURN,FLIGHT TIME,NOTES
Etihad Airways (RECOMMENDED),Business,"AUD $3,500-4,500",22h 35m via Abu Dhabi,"Fastest, best value, modern aircraft (A350/787)"
Emirates,Premium Economy,"AUD $2,300-3,100",24h 40m via Dubai,"Great comfort, good price"
Singapore Airlines,Economy,"AUD $2,000-3,000",23-24h via Singapore,"Budget-friendly, reputable"
Qantas QF5/QF6,Economy,"AUD $5,600-6,400",23h 50m via Perth,"Australian airline, all Qantas"
Qantas QF5/QF6,Business,"AUD $13,000-16,000",23h 50m via Perth,"Most expensive option"

BOOKING TIMELINE
Time,Action,Details
NOW (April 2026),Set up price alerts,"Google Flights, Skyscanner, Etihad.com, Emirates.com"
May 2027,Monitor alerts,"Watch for flash sales and special deals"
June 2027,Book flights,"2 months ahead = best pricing window"

===== TAB 3: ROME ARRIVAL (2 NIGHTS) =====

Dates,August 1-2 2027
Accommodation Type,4-star central Rome hotel
Estimated Cost,"AUD $250-400/night = $500-800 total"

DAY 1 - WEDNESDAY AUGUST 1: ARRIVE ROME
Time,Activity,Location,Details
Morning,Depart Sydney,"Sydney Airport (SYD)","Etihad EY451 or Qantas QF5, 7:05pm departure"
Afternoon,Arrive Rome,"Rome Fiumicino (FCO)","Land 9:55am local time (Wednesday)"
Afternoon,Transfer to Hotel,Central Rome,"Leonardo Express train (30 min, €16) or shuttle bus (€6-8)"
Evening,Settle in,Hotel,"Check in, rest, light dinner nearby"

DAY 2 - THURSDAY AUGUST 2: ANCIENT ROME
Time,Activity,Location,Details
9:00am,Pre-book tickets,Colosseum & Roman Forum,"Secure timed entry (€16 total)"
9:30am,Colosseum tour,Colosseum,"Walk labyrinth, arena floor, gladiator history"
11:00am,Roman Forum,Roman Forum,"Explore temples, basilicas, historical center"
12:30pm,Capitoline Hill,Capitoline Hill,"Museums, views over Imperial Forums"
1:30pm,Lunch,Near Pantheon,"Local trattoria, pasta or pizza"
3:00pm,Siesta,Hotel,"Rest for 2 hours"
5:00pm,Walk,Imperial Forums,"Stroll floodlit ruins at sunset"
7:00pm,Dinner,"Trastevere or Monti","Charming neighborhoods, authentic restaurants"

ACCOMMODATION OPTIONS
Hotel Name,Rating,Cost/Night,Booking Link
Hotel Artemide,4-star,"AUD $300-350","Booking.com"
Colonna Palace Hotel,4-star,"AUD $280-320","Hotels.com"
Hotel Nazionale,4-star,"AUD $250-300","Expedia"

===== TAB 4: NAPLES + POMPEII (2 NIGHTS) =====

Dates,August 3-4 2027
Accommodation,3-star hotel near Naples station
Estimated Cost,"AUD $150-250/night = $300-500 total"

DAY 1 - FRIDAY AUGUST 3: ARRIVE NAPLES
Time,Activity,Location,Details
Morning,Train Rome→Naples,Rome Termini to Napoli Centrale,"Book Trenitalia/Omio, high-speed train, 2 hours, €30-80"
1:00pm,Check in,Hotel near station,"Budget hotel, rest"
2:00pm,Lunch,Naples streets,"Street food: pizza, sfogliatelle pastry"
3:00pm,Explore,Waterfront,"Castel dell'Ovo, Piazza Plebiscito, harbor views"
4:00pm,Walk,Naples Old Town,"Narrow streets, street life, local markets"
7:00pm,Dinner,"Local trattoria","Seafood specialties, fresh pasta"

DAY 2 - SATURDAY AUGUST 4: POMPEII + MOUNT VESUVIUS
Time,Activity,Location,Details
8:00am,Meet tour guide,Meeting point,"Skip-the-line Pompeii tour (Viator/GetYourGuide)"
9:00am,Pompeii guided tour,Pompeii ruins,"2-3 hours: theaters, homes, forums, mosaics, frescoes"
12:00pm,Mount Vesuvius,Mount Vesuvius,"Option A: Crater hike (1.5 hrs, moderate fitness)"
12:00pm,Alternative,Mount Vesuvius,"Option B: Scenic geologist-guided walk (easier)"
1:00pm,Lunch,"Bay of Naples views","Authentic Neapolitan pizza with bay views"
3:00pm,Free time,Pompeii,"Self-explore more of ruins or return to Naples"
6:00pm,Return,Naples,"Train/transfer back to city"
7:30pm,Celebration dinner,Naples,"Final night in Naples"

BOOKING
Service,Operator,Cost,Notes
Pompeii Skip-the-line Tour,"Viator, GetYourGuide, or Through Eternity","AUD $80-120","Book 2-3 months in advance"
Train Tickets,Trenitalia or Omio,"AUD $30-80","Book in advance for discounts"

===== TAB 5: MINORI - AMALFI COAST (2 NIGHTS) =====

Dates,August 5-6 2027
Base Town,Minori (quieter alternative to Amalfi)
Accommodation,3-star with sea views
Estimated Cost,"AUD $200-300/night = $400-600 total"

DAY 1 - SUNDAY AUGUST 5: ARRIVE MINORI
Time,Activity,Location,Details
Morning,Train Naples→Salerno,Naples to Salerno,"Regional train, 40 min, €5-10"
11:00am,Bus Salerno→Minori,SITA bus,"1h 15min, €1.50 or 24-hour pass €10"
12:30pm,Check in,Minori hotel,"Settle in, lunch at waterfront"
1:00pm,Lunch,Lungomare (waterfront),"Beach club or café overlooking sea"
3:00pm,Explore town,Minori,"Walk waterfront promenade, local shops"
4:00pm,Relax,Beach,"Dark sand beach, dip in sea"
6:00pm,Pastry time,Pasticceria Sal de Riso,"Famous delizia al limone (lemon pastry)"
7:30pm,Dinner,"Local trattoria on lungomare","Fresh seafood, pasta"

DAY 2 - MONDAY AUGUST 6: LEMON PATH HIKE + CULTURE
Time,Activity,Location,Details
9:00am,Lemon Path hike,Sentiero dei Limoni,"Easy 1-hour trail to Maiori through lemon groves"
